kod,vyucujici,role,uci_v_zs,obdobi_pocet,prvni_rok,posledni_rok,roky,obdobi,odpovedi,prumer_vyucujici,prumer_predmet,komentaru,zdroj
NAIL086,"doc. Mgr. Martin Pilát, Ph.D.",přednáška,0,4,2015,2019,2015L|2017L|2018L|2019L,2015 / letní|2017 / letní|2018 / letní|2019 / letní,29,,,0,anketa_cisla
NAIL087,"Mgr. Ján Antolík, Ph.D.",přednáška,1,1,2020,2020,2020Z,2020 / zimní,6,,"1,00",0,anketa_cisla
NAIL087,Studeničová Katarína,cvičení,1,0,,,,,0,,,0,rozvrh
NAIL087,,cvičení,0,0,2025,2025,2025,,0,,,1,komentare
NAIL087,,přednáška,0,0,2024,2025,2024|2025,,0,,,2,komentare
NAIL087,"Mgr. Ján Antolík, Ph.D.",cvičení,0,1,2020,2020,2020Z,2020 / zimní,6,,"1,17",0,anketa_cisla
NAIL087,"Mgr. et Mgr. Filip Děchtěrenko, Ph.D.",cvičení,0,2,2014,2020,2014Z|2020Z,2014 / zimní|2020 / zimní,12,,"1,50",0,anketa_cisla
NAIL087,"Mgr. et Mgr. Filip Děchtěrenko, Ph.D.",přednáška,0,1,2020,2020,2020Z,2020 / zimní,6,,"1,83",0,anketa_cisla
NAIL087,"doc. Mgr. Jiří Lukavský, Ph.D.",cvičení,0,3,2015,2020,2015Z|2018Z|2020Z,2015 / zimní|2018 / zimní|2020 / zimní,26,,,0,anketa_cisla
NAIL087,"doc. Mgr. Jiří Lukavský, Ph.D.",přednáška,0,6,2010,2020,2010Z|2013Z|2014Z|2015Z|2018Z|2020Z,2010 / zimní|2013 / zimní|2014 / zimní|2015 / zimní|2018 / zimní|2020 / zimní,49,,,0,anketa_cisla
NAIL087,"doc. Mgr. Cyril Brom, Ph.D.",cvičení,0,3,2013,2018,2013Z|2015Z|2018Z,2013 / zimní|2015 / zimní|2018 / zimní,26,,"1,69",0,anketa_cisla
NAIL087,"doc. Mgr. Cyril Brom, Ph.D.",přednáška,0,6,2010,2018,2010Z|2011Z|2013Z|2014Z|2015Z|2018Z,2010 / zimní|2011 / zimní|2013 / zimní|2014 / zimní|2015 / zimní|2018 / zimní,50,,"1,54",0,anketa_cisla
NAIL099,Holeňa Martin,cvičení,1,0,,,,,0,,,0,rozvrh
NAIL099,,seminář,0,0,2025,2025,2025,,0,,,1,komentare
NAIL104,"Mgr. Marta Vomlelová, Ph.D.",přednáška,1,1,2020,2020,2020Z,2020 / zimní,5,,,1,anketa_cisla
NAIL106,,cvičení,0,0,2022,2022,2022,,0,,,1,komentare
NAIL106,"Mgr. Roman Neruda, CSc.",přednáška,0,7,2013,2022,2013L|2014L|2015L|2017L|2018L|2019L|2022L,2013 / letní|2014 / letní|2015 / letní|2017 / letní|2018 / letní|2019 / letní|2022 / letní,56,,"1,40",1,anketa_cisla
NAIL106,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,0,7,2013,2022,2013L|2014L|2015L|2017L|2018L|2019L|2022L,2013 / letní|2014 / letní|2015 / letní|2017 / letní|2018 / letní|2019 / letní|2022 / letní,61,,,2,anketa_cisla
NAIL106,"doc. Mgr. Martin Pilát, Ph.D.",přednáška,0,5,2015,2022,2015L|2017L|2018L|2019L|2022L,2015 / letní|2017 / letní|2018 / letní|2019 / letní|2022 / letní,33,,,0,anketa_cisla
NAIL107,,cvičení,0,0,2023,2023,2023,,0,,,1,komentare
NAIL107,,přednáška,0,0,2023,2023,2023,,0,,,2,komentare
NAIL107,"RNDr. František Mráz, CSc.",cvičení,0,2,2015,2017,2015L|2017L,2015 / letní|2017 / letní,12,,,1,anketa_cisla
NAIL107,"RNDr. František Mráz, CSc.",přednáška,0,2,2015,2017,2015L|2017L,2015 / letní|2017 / letní,12,,,3,anketa_cisla
NAIL109,"Mgr. Roman Neruda, CSc.",cvičení,1,2,2015,2025,2015Z|2025Z,2015 / zimní|2025 / zimní,13,,"1,19",0,anketa_cisla
NAIL109,,praktická cvičení,0,0,2025,2025,2025,,0,,,2,komentare
NAIL109,"Mgr. Roman Neruda, CSc.",praktická cvičení,0,0,2025,2025,2025,,0,,,1,komentare
NAIL109,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,0,2,2015,2025,2015Z|2025Z,2015 / zimní|2025 / zimní,13,,,0,anketa_cisla
NAIL116,"RNDr. František Mráz, CSc.",cvičení,1,0,2024,2024,2024,,0,,,1,komentare
NAIL116,Mrázová Iveta,přednáška,1,0,,,,,0,,,0,rozvrh
NAIL116,,cvičení,0,0,2024,2024,2024,,0,,,1,komentare
NAIL116,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,0,0,2024,2024,2024,,0,,,1,komentare
NDBI021,"doc. Mgr. Ladislav Peška, Ph.D.",přednáška,1,1,2025,2025,2025Z,2025 / zimní,5,,,1,anketa_cisla
NDBI021,Peška Ladislav,cvičení,1,0,,,,,0,,,0,rozvrh
NDBI021,,přednáška,0,0,2024,2025,2024|2025,,0,,,2,komentare
NDBI021,,seminář,0,0,2025,2025,2025,,0,,,1,komentare
NDBI021,"doc. Mgr. Ladislav Peška, Ph.D.",seminář,0,0,2025,2025,2025,,0,,,1,komentare
NDBI023,,přednáška,0,0,2024,2025,2024|2025,,0,,,3,komentare
NDBI023,,cvičení,0,0,2024,2024,2024,,0,,,2,komentare
NDBI023,"RNDr. František Mráz, CSc.",cvičení,0,3,2013,2024,2013L|2015L|2024L,2013 / letní|2015 / letní|2024 / letní,29,,"2,04",3,anketa_cisla
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,0,2,2015,2024,2015L|2024L,2015 / letní|2024 / letní,17,,,0,anketa_cisla
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,0,7,2004,2024,2004L|2008L|2011L|2013L|2014L|2015L|2024L,2004 / letní|2008 / letní|2011 / letní|2013 / letní|2014 / letní|2015 / letní|2024 / letní,53,,,1,anketa_cisla
NDBI048,"doc. RNDr. Irena Holubová, Ph.D.",cvičení,1,0,2025,2025,2025,,0,,,1,komentare
NDBI048,"doc. RNDr. Irena Holubová, Ph.D.",přednáška,1,1,2024,2024,2024Z,2024 / zimní,5,,,3,anketa_cisla
NDBI048,,cvičení,0,0,2024,2025,2024|2025,,0,,,3,komentare
NDBI048,,přednáška,0,0,2024,2025,2024|2025,,0,,,3,komentare
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,1,11,2006,2020,2006Z|2007Z|2008Z|2013Z|2014Z|2015Z|2016Z|2017Z|2018Z|2019Z|2020Z,2006 / zimní|2007 / zimní|2008 / zimní|2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní,181,,,0,anketa_cisla
NMAI060,,přednáška,0,0,2024,2024,2024,,0,,,1,komentare
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",cvičení,0,1,2014,2014,2014Z,2014 / zimní,17,,,0,anketa_cisla
NMAI061,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,0,0,2023,2023,2023,,0,,,1,komentare
NMAI061,"doc. RNDr. Zdeněk Hlávka, Ph.D.",cvičení,0,1,2013,2013,2013L,2013 / letní,12,,,0,anketa_cisla
NMAI061,"doc. RNDr. Zdeněk Hlávka, Ph.D.",přednáška,0,4,2007,2013,2007L|2008L|2011L|2013L,2007 / letní|2008 / letní|2011 / letní|2013 / letní,47,,,0,anketa_cisla
NMAI073,"Mgr. Václav Rozhoň, Ph.D.",přednáška,1,0,2025,2025,2025,,0,,,1,komentare
NMAI073,"Bc. Josef Tkadlec, Ph.D.",cvičení,1,1,2024,2024,2024Z,2024 / zimní,7,,,7,anketa_cisla
NMAI073,,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,7,komentare
NMAI073,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,9,komentare
NMAI073,"Bc. Josef Tkadlec, Ph.D.",přednáška,0,4,2021,2024,2021Z|2022Z|2023Z|2024Z,2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní,23,,,0,anketa_cisla
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",přednáška,0,4,2021,2024,2021Z|2022Z|2023Z|2024Z,2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní,23,,"1,63",8,anketa_cisla
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",cvičení,0,0,2023,2023,2023,,0,,,2,komentare
NMAI165,"prof. RNDr. Jaromír Antoch, CSc.",cvičení,1,2,2018,2019,2018Z|2019Z,2018 / zimní|2019 / zimní,16,,,1,anketa_cisla
NMAI165,,cvičení,0,0,2025,2025,2025,,0,,,1,komentare
NMSA331,Mgr. Hedvika Ranošová,cvičení,1,0,2025,2025,2025,,0,,,1,komentare
NMSA331,"doc. Ing. Marek Omelka, Ph.D.",cvičení,1,11,2013,2025,2013Z|2014Z|2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2022Z|2025Z,2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2022 / zimní|2025 / zimní,144,,,1,anketa_cisla
NMSA331,"prof. RNDr. Arnošt Komárek, Ph.D.",přednáška,1,1,2022,2022,2022Z,2022 / zimní,9,,"1,33",1,anketa_cisla
NMSA331,,přednáška,0,0,2024,2024,2024,,0,,,1,komentare
NMSA331,"doc. Ing. Marek Omelka, Ph.D.",přednáška,0,8,2015,2022,2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2022Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2022 / zimní,119,,,0,anketa_cisla
NMSA331,"doc. Mgr. Stanislav Nagy, Ph.D.",cvičení,0,5,2018,2022,2018Z|2019Z|2020Z|2021Z|2022Z,2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2022 / zimní,40,,"1,36",0,anketa_cisla
NMSA331,"doc. RNDr. Šárka Hudecová, Ph.D.",cvičení,0,5,2017,2021,2017Z|2018Z|2019Z|2020Z|2021Z,2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní,41,,"1,21",0,anketa_cisla
NMSA331,"doc. Mgr. Michal Kulich, Ph.D.",přednáška,0,2,2015,2016,2015Z|2016Z,2015 / zimní|2016 / zimní,32,,"1,78",0,anketa_cisla
NMSA331,"doc. RNDr. Daniel Hlubinka, Ph.D.",cvičení,0,3,2013,2015,2013Z|2014Z|2015Z,2013 / zimní|2014 / zimní|2015 / zimní,39,,"2,64",0,anketa_cisla
NMSA331,"prof. RNDr. Jiří Anděl, DrSc.",přednáška,0,3,2012,2014,2012Z|2013Z|2014Z,2012 / zimní|2013 / zimní|2014 / zimní,46,,,0,anketa_cisla
NOPT021,Schmid Martin,přednáška,1,0,,,,,0,,,0,rozvrh
NOPT021,,přednáška,0,0,2024,2025,2024|2025,,0,,,2,komentare
NOPT021,Mgr. Radovan Haluška,cvičení,0,0,2025,2025,2025,,0,,,1,komentare
NOPT021,"prof. RNDr. Karel Zimmermann, DrSc.",přednáška,0,1,2017,2017,2017Z,2017 / zimní,5,,,0,anketa_cisla
NOPT046,,cvičení,0,0,2024,2025,2024|2025,,0,,,2,komentare
NOPT046,,přednáška,0,0,2022,2025,2022|2024|2025,,0,,,3,komentare
NOPT046,"prof. RNDr. Martin Loebl, CSc.",cvičení,0,0,2023,2025,2023|2024|2025,,0,,,3,komentare
NOPT046,"prof. RNDr. Martin Loebl, CSc.",přednáška,0,0,2022,2025,2022|2023|2024|2025,,0,,,4,komentare
NOPT046,"doc. Hans Raj Tiwary, M.Sc., Ph.D.",cvičení,0,1,2015,2015,2015L,2015 / letní,5,,,3,anketa_cisla
NOPT046,"doc. Hans Raj Tiwary, M.Sc., Ph.D.",přednáška,0,1,2015,2015,2015L,2015 / letní,5,,,4,anketa_cisla
NOPT046,"prof. Mgr. Milan Hladík, Ph.D.",cvičení,0,1,2015,2015,2015L,2015 / letní,5,,"2,00",1,anketa_cisla
NOPT046,"prof. Mgr. Milan Hladík, Ph.D.",přednáška,0,1,2015,2015,2015L,2015 / letní,5,,"2,20",1,anketa_cisla
NOPT046,"RNDr. Jan Palata, CSc.",cvičení,0,3,2004,2009,2004Z|2005L|2009L,2004 / zimní|2005 / letní|2009 / letní,20,,,0,anketa_cisla
NOPT046,"doc. RNDr. Libuše Grygarová, DrSc.",přednáška,0,3,2004,2007,2004Z|2005L|2007L,2004 / zimní|2005 / letní|2007 / letní,18,,,0,anketa_cisla
NPFL097,"RNDr. David Mareček, Ph.D.",přednáška,1,0,2025,2025,2025,,0,,,3,komentare
NPFL097,"RNDr. David Mareček, Ph.D.",cvičení,1,1,2014,2014,2014Z,2014 / zimní,5,,,0,anketa_cisla
NPFL097,,cvičení,0,0,2024,2025,2024|2025,,0,,,2,komentare
NPFL097,,přednáška,0,0,2024,2025,2024|2025,,0,,,4,komentare
NPFL097,"prof. Ing. Zdeněk Žabokrtský, Ph.D.",cvičení,0,1,2014,2014,2014Z,2014 / zimní,5,,,0,anketa_cisla
NPFL099,Dušek Ondřej,cvičení,1,0,,,,,0,,,0,rozvrh
NPFL099,Dušek Ondřej,přednáška,1,0,,,,,0,,,0,rozvrh
NPFL099,,přednáška,0,0,2023,2024,2023|2024,,0,,,2,komentare
NPFL099,,seminář,0,0,2024,2024,2024,,0,,,1,komentare
NPFL099,"Mgr. et Mgr. Ondřej Dušek, Ph.D.",přednáška,0,0,2023,2024,2023|2024,,0,,,2,komentare
NPFL103,,seminář,0,0,2024,2024,2024,,0,,,1,komentare
NPFL103,"doc. RNDr. Pavel Pecina, Ph.D.",cvičení,0,1,2019,2019,2019Z,2019 / zimní,5,,,0,anketa_cisla
NPFL103,"doc. RNDr. Pavel Pecina, Ph.D.",přednáška,0,3,2017,2019,2017Z|2018Z|2019Z,2017 / zimní|2018 / zimní|2019 / zimní,15,,,0,anketa_cisla
NPFL104,"prof. Ing. Zdeněk Žabokrtský, Ph.D.",cvičení,0,2,2015,2017,2015L|2017L,2015 / letní|2017 / letní,13,,,0,anketa_cisla
NPFL104,"prof. Ing. Zdeněk Žabokrtský, Ph.D.",přednáška,0,1,2017,2017,2017L,2017 / letní,7,,,0,anketa_cisla
NPFL104,"prof. RNDr. Ondřej Bojar, Ph.D.",cvičení,0,2,2015,2017,2015L|2017L,2015 / letní|2017 / letní,13,,"1,92",0,anketa_cisla
NPFL104,"prof. RNDr. Ondřej Bojar, Ph.D.",přednáška,0,1,2017,2017,2017L,2017 / letní,7,,"1,43",0,anketa_cisla
NPFL118,,cvičení,0,0,2023,2025,2023|2025,,0,,,2,komentare
NPFL118,"Mgr. Martin Popel, Ph.D.",cvičení,0,0,2023,2025,2023|2025,,0,,,2,komentare
NPFL118,"RNDr. Milan Straka, Ph.D.",cvičení,0,0,2023,2025,2023|2025,,0,,,2,komentare
NPFL118,"Mgr. Rudolf Rosa, Ph.D.",cvičení,0,0,2023,2023,2023,,0,,,1,komentare
NPFL123,,cvičení,0,0,2023,2024,2023|2024,,0,,,5,komentare
NPFL123,,přednáška,0,0,2023,2024,2023|2024,,0,,,4,komentare
NPFL123,"Mgr. et Mgr. Ondřej Dušek, Ph.D.",cvičení,0,0,2022,2024,2022|2023|2024,,0,,,4,komentare
NPFL123,"Mgr. et Mgr. Ondřej Dušek, Ph.D.",přednáška,0,1,2024,2024,2024L,2024 / letní,6,,,4,anketa_cisla
NPFL138,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,14,komentare
NPFL138,,cvičení,0,0,2023,2024,2023|2024,,0,,,5,komentare
NPFL138,"RNDr. Milan Straka, Ph.D.",přednáška,0,2,2023,2024,2023L|2024L,2023 / letní|2024 / letní,48,,,14,anketa_cisla
NPFL138,"RNDr. Milan Straka, Ph.D.",cvičení,0,1,2023,2023,2023L,2023 / letní,19,,,6,anketa_cisla
NPFL139,,cvičení,0,0,2024,2024,2024,,0,,,2,komentare
NPFL139,,přednáška,0,0,2023,2024,2023|2024,,0,,,4,komentare
NPFL139,"RNDr. Milan Straka, Ph.D.",cvičení,0,2,2023,2024,2023L|2024L,2023 / letní|2024 / letní,16,,,2,anketa_cisla
NPFL139,"RNDr. Milan Straka, Ph.D.",přednáška,0,2,2023,2024,2023L|2024L,2023 / letní|2024 / letní,19,,,2,anketa_cisla
NPFL140,,seminář,0,0,2023,2025,2023|2024|2025,,0,,,4,komentare
NPFL140,"Mgr. Jindřich Helcl, Ph.D.",cvičení,0,1,2023,2023,2023L,2023 / letní,5,,"1,40",0,anketa_cisla
