kod,paralelka,typ,jazyk,zapsano,kapacita,skupiny
NSWI035,26aNSWI035p2,P,angličtina,0,,N#IN322 N#IN329 N#IN330 N#IN334 N#IN338 N#IN339 N#IN340 N#IN341 N#IN346 N#IN916 N#IN946 N#IN947 N#IN948 N#IN949 N#IN950 N#IN951 N#IN953 N#XI322 N#XI329 N#XI330 N#XI334 N#XI338 N#XI339 N#XI340 N#XI341 N#XI346 N#XI916 N#XI946 N#XI947 N#XI948 N#XI949 N#XI950 N#XI951 N#XI953
NTIN066,26aNTIN066p1,P,čeština,0,,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x01,X,čeština,0,25,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x02,X,čeština,0,25,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x03,X,čeština,0,30,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x04,X,čeština,0,30,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x05,X,čeština,0,25,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x06,X,čeština,0,25,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN066,26aNTIN066x07,X,čeština,0,0,N#IN001 N#IN002 N#IN301 N#IN309 N#IN318 N#IN319 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MP030 N#XI001 N#XI002 N#XI301 N#XI309 N#XI318 N#XI319 N#XI323 N#XI343 N#XI353 N#XI363 N#XI623 N#XI902 N#XI913 N#XI915 N#XI923 N#XI926 N#XI927 N#XI928 N#XI931 N#XI932 N#XI933
NTIN090,26aNTIN090p1,P,čeština,0,,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090p2,P,angličtina,0,70,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x01,X,čeština,0,26,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x02,X,čeština,0,24,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x03,X,čeština,0,24,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x04,X,čeština,0,30,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x05,X,angličtina,0,5,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x06,X,čeština,0,30,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
NTIN090,26aNTIN090x07,X,čeština,0,30,N#IN309 N#IN323 N#IN343 N#IN353 N#IN363 N#IN623 N#IN902 N#IN913 N#IN915 N#IN923 N#IN926 N#IN927 N#IN928 N#IN931 N#IN932 N#IN933 N#MI030 N#MI306 N#MI905 N#MM734 N#MM754 N#MM834 N#MP030
